Person,Number of Movies,Technical Role,Franchise Worldwide Box Office,Career Worldwide Box Office,Franchise/Career
Gozie Agbo,2,Theo Broussard,1866320410,1866320410,1.00
Angela Bassett,2,Ramonda,4134294885,7444796559,0.56
Robert Redford,2,Agent Alexander Pierce,3512202453,5756608354,0.61
Alexis Denisof,2,The Other,2285982606,2290311456,1.00
Zack Duhame,2,Engine Pirate,1233260338,1827824659,0.68
Callan Mulvey,2,Jack Rollins,3512202453,5341361159,0.66
Brian Schaeffer,2,Strucker Mercenary,2016473368,2016473368,1.00
Tiffany Espensen,2,Cindy,2926706194,3175570059,0.92
Terry Notary,2,Groot,4846160318,7633474513,0.64
Jamie McShane,2,Agent Jackson,1964426829,2609162537,0.75
Stephen Blackehart,2,Brahl,1639995496,1852092312,0.89
Ross Marquand,2,Red Skull,4846160318,4846192166,1.00
